City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,portland,45.5234,-122.6762,3.07,92,100,4.63,US,1677582276
282,mackay,-21.15,149.2,22.6,71,60,3.95,AU,1677582276
283,alexandria,31.2156,29.9553,22.65,49,0,3.79,EG,1677582007
284,san quintin,30.4833,-115.95,11.15,77,68,3.99,MX,1677582277
285,kelvington,52.1667,-103.5343,-21.87,100,93,2.57,CA,1677582277
286,souillac,-20.5167,57.5167,27.51,72,34,4.86,MU,1677582278
287,sinjar,36.3209,41.8754,18.92,21,5,1.12,IQ,1677582278
288,yumen,40.2833,97.2,3.51,32,100,1.59,CN,1677582235
289,labuhan,-6.8844,112.2051,26.3,84,100,6.66,ID,1677582279
290,athy,52.9914,-6.9803,7.21,85,89,4.96,IE,1677582279
291,touros,-5.1989,-35.4608,28.47,69,20,6.85,BR,1677582280
292,la asuncion,11.0333,-63.8628,23.84,87,4,5.96,VE,1677582280
293,crossville,35.949,-85.0269,11.92,68,0,0.89,US,1677582281
294,saint anthony,45.0205,-93.21799999999999,-5.22,88,0,1.54,US,1677582281
295,qasigiannguit,68.8193,-51.1922,-7.86,97,100,2.95,GL,1677582282
296,bayir,37.2687,28.2167,18.29,31,100,1.84,TR,1677582282
297,talikota,16.4833,76.3167,32.43,15,0,5.21,IN,1677582283
298,bahia blanca,-38.7196,-62.2724,22.94,38,0,0.45,AR,1677582283
299,yelizovo,53.1873,158.3805,-14.31,87,24,2.22,RU,1677582113
300,mahebourg,-20.4081,57.7,29.03,71,21,4.53,MU,1677582284
301,codrington,-38.2667,141.9667,14.15,69,96,4.2,AU,1677582284
302,severobaykalsk,55.65,109.3167,-15.87,86,80,2.86,RU,1677582285
303,pisco,-13.7,-76.2167,22.03,78,0,2.06,PE,1677582286
304,pangnirtung,66.1451,-65.7125,-35.26,94,100,0.86,CA,1677582287
305,valandovo,41.3169,22.5611,16.7,59,100,1.62,MK,1677582287
306,hobyo,5.3505,48.5268,27.96,65,69,6.74,SO,1677582288
307,ferkessedougou,9.6,-5.2,33.7,38,19,2.58,CI,1677582288
308,zaraza,9.3503,-65.3245,22.15,91,3,1.76,VE,1677582289
309,roebourne,-20.7833,117.1333,31.04,66,10,8.06,AU,1677582289
310,lethem,3.3803,-59.7968,24.17,83,86,4.52,GY,1677582290
311,rodas,22.3408,-80.5572,15.11,84,0,0.59,CU,1677582290
312,nemuro,43.3236,145.575,2.73,83,1,10.2,JP,1677582290
313,poum,-20.2333,164.0167,27.1,86,36,6.97,NC,1677582291
314,ust-uda,54.1742,103.0304,-12.47,94,100,1.45,RU,1677582291
315,udachnyy,66.4167,112.4,-17.53,77,93,7.94,RU,1677582292
316,aginskoye,51.1,114.53,-11.18,74,99,2.9,RU,1677582292
317,asau,46.4333,26.4,0.71,70,96,1.74,RO,1677582293
318,ahipara,-35.1667,173.1667,16.32,89,5,2.83,NZ,1677582293
319,lixourion,38.2019,20.4314,18.6,59,100,2.1,GR,1677582294
320,petauke,-14.2426,31.3253,22.69,90,97,3.62,ZM,1677582295
321,takoradi,4.8845,-1.7554,30.31,64,43,3.62,GH,1677582007
322,kilakarai,9.2333,78.7833,28.56,64,21,9.67,IN,1677582296
323,saint george,37.1041,-113.5841,8.33,49,100,3.58,US,1677582296
324,charters towers,-20.1,146.2667,23.89,81,87,5.34,AU,1677582297
325,taoudenni,22.6783,-3.9836,24.68,19,0,2.72,ML,1677582297
326,cap malheureux,-19.9842,57.6142,29.15,66,8,5.48,MU,1677582298
327,la ronge,55.1001,-105.2842,-20.62,99,100,2.33,CA,1677582298
328,lasa,46.6166,10.7002,7.23,70,46,1.67,IT,1677582299
329,torit,4.4133,32.5678,36.77,23,90,3.15,SS,1677582299
330,tongchuan,35.0806,109.0897,10.04,30,100,3.32,CN,1677582300
331,abasolo,20.45,-101.5167,10.51,47,38,1.02,MX,1677582300
332,lata,40.1629,-8.3327,11.71,35,75,2.37,PT,1677582301
333,batemans bay,-35.7167,150.1833,22.83,90,100,2.33,AU,1677582302
334,batagay,67.6333,134.6333,-39.08,100,44,0.38,RU,1677582302
